CDs 1 V x 2 HOURS Ex 340 nm,,CDs 1 V x 2 HOURS Ex 230 ,,CDs 1 V x 2 HOURS Ex 240 nm,,CDs 1 V x 2 HOURS Ex 250,,CDs 1 V x 2 HOURS Ex 260,,CDs 1 V x 2 HOURS Ex 270,,CDs 1 V x 2 HOURS Ex 280,,CDs 1 V x 2 HOURS Ex 290,,CDs 1 V x 2 HOURS Ex 300,,CDs 1 V x 2 HOURS Ex 300 (2),,CDs 1 V x 2 HOURS Ex 310,,CDs 1 V x 2 HOURS Ex 320,,CDs 1 V x 2 HOURS Ex 330,,CDs 1 V x 2 HOURS Ex 340,,CDs 1 V x 2 HOURS Ex 350,,CDs 1 V x 2 HOURS Ex 360,,CDs 1 V x 2 HOURS Ex 370,,CDs 1 V x 2 HOURS Ex 370,,CDs 1 V x 2 HOURS Ex 390,,CDs 1 V x 2 HOURS Ex 400,,CDs 1 V x 2 HOURS Ex 410,,CDs 1 V x 2 HOURS Ex 420,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
398.9299927,0.4481725693,299.0700073,-2.689429522,309.0700073,-2.691436529,319.0700073,-2.627347231,329.0700073,-2.26418829,329.0700073,-1.952662945,339.0700073,-1.33907187,349.0700073,-1.059737206,359.0700073,-1.01226759,359.0700073,-1.130942941,368.9299927,-0.8417525291,379.0700073,0.3217227459,388.9299927,0.7902309895,398.9299927,0.07115411758,408.9299927,-0.2537610531,418.9299927,-1.173296928,428.9299927,-0.6913509369,438.9299927,-0.3853149414,448.9299927,-0.5568857193,458.9500122,-0.91928792,468.9299927,-1.496579528,478.9500122,-1.976380587,
400,0.156263113,300,-2.631753683,310,-2.569933891,320,-2.650107861,330,-2.328619719,330,-1.880741715,340,-1.459752917,350,-1.150250673,360,-0.9762911797,360,-1.029461384,370,-0.6277756691,380,0.009299039841,390,0.3530640602,400,0.4065864086,410,-0.2529602051,420,-0.852973938,430,-0.9573792219,440,-0.5355920792,450,-0.447851181,460,-0.7421891689,470,-1.551905036,480,-1.986153841,
401.0599976,0.4826416969,301.0700073,-2.602493286,311.0700073,-2.55075264,321.0700073,-2.664498806,331.0700073,-2.300639629,331.0700073,-1.838686705,341.0700073,-1.378127337,351.0700073,-1.255471706,361.0599976,-0.9841111898,361.0599976,-0.8626295328,371.0700073,-0.4271256924,381.0599976,0.2366716862,391.0599976,0.77856493,401.0599976,0.3075699806,411.0599976,-0.2033772469,421.0599976,-1.025791883,431.0599976,-1.091986179,441.0599976,-0.7890995741,451.0400085,-0.6240811348,461.0599976,-0.7242828608,471.0400085,-1.408588886,481.0400085,-1.876693487,
401.9599915,0.250109911,302,-2.512586355,312,-2.678118467,322,-2.649608374,332,-2.322169542,332,-1.971932292,342,-1.455604792,352,-1.174856067,361.9599915,-0.8356204033,361.9599915,-0.9123346806,372,-0.5169451237,381.9599915,0.4869041443,391.9599915,0.7165048122,401.9599915,0.529074192,411.9599915,-0.428289175,421.9599915,-0.9367364645,431.9599915,-0.8954597712,441.9599915,-0.8467940092,451.9400024,-0.5142173767,461.9599915,-0.697783947,471.9400024,-1.334185362,481.9400024,-1.839708567,
403.0299988,0.649548769,303.0700073,-2.55743885,313.0700073,-2.584183931,323.0700073,-2.66422224,333.0700073,-2.261619568,333.0700073,-1.847479224,343.0700073,-1.519526958,353.0700073,-1.17436862,363.0299988,-0.859596014,363.0299988,-0.7830290794,373.0700073,-0.2787454128,383.0299988,0.3878068924,393.0299988,0.9452543259,403.0299988,0.5679585934,413.0299988,-0.2260541916,423.0299988,-1.028912306,433.0299988,-0.8873262405,443.0299988,-1.01070869,452.980011,-0.8157060146,463.0299988,-0.6193106174,472.980011,-1.197335482,482.980011,-1.718054175,
403.9299927,0.3794052601,304,-2.660035849,314,-2.69116497,324,-2.642092943,334,-2.262121201,334,-1.877802134,344,-1.624043822,354,-1.220627427,363.9299927,-0.7916352749,363.9299927,-0.7702896595,374,-0.06052732468,383.9299927,0.5906984806,393.9299927,0.9707334042,403.9299927,0.7721633911,413.9299927,-0.3686258793,423.9299927,-1.007615089,433.9299927,-0.9779007435,443.9299927,-1.049792051,454.019989,-0.8173965216,463.9299927,-0.7769134045,474.019989,-1.107896686,484.019989,-1.72891748,
405,0.3277339935,305.0700073,-2.733160734,315.0700073,-2.611144304,325.0700073,-2.595876694,335.0700073,-2.258958101,335.0700073,-1.875511169,345.0700073,-1.464841485,355.0700073,-1.118073702,365,-0.8940854073,365,-0.7382056713,375.0700073,0.07198882103,385,0.3874051571,395,1.267459154,405,0.6216235161,415,-0.4468228817,425,-0.9932305813,435,-1.053040147,445,-1.101015568,455.0700073,-1.06778121,465,-0.9218859673,475.0700073,-1.125507116,485.0700073,-1.518094778,
406.0599976,0.6158726215,306,-2.601934195,316,-2.557983875,326,-2.680302143,336,-2.281577826,336,-1.884167194,346,-1.427761316,356,-1.179047108,366.0599976,-0.7704969645,366.0599976,-0.6703870296,376,-0.05176186562,386.0599976,0.7293713093,396.0599976,0.9664404392,406.0599976,0.7082335949,416.0599976,-0.2437150478,426.0599976,-0.9753358364,436.0599976,-0.9717999697,446.0599976,-1.165269375,455.9700012,-1.013827443,466.0599976,-1.019087553,475.9700012,-1.135524869,485.9700012,-1.499977946,
406.9599915,0.7655742168,307.0700073,-2.645485163,317.0700073,-2.677874804,327.0700073,-2.64262557,337.0700073,-2.260788441,337.0700073,-1.931451797,347.0700073,-1.45817709,357.0700073,-1.127292275,366.9599915,-0.7142138481,366.9599915,-0.6495609283,377.0700073,-0.1535081863,386.9599915,0.9344284534,396.9599915,1.187549353,406.9599915,0.5363473892,416.9599915,-0.2140712738,426.9599915,-0.9244230986,436.9599915,-0.8980916739,446.9599915,-0.99000144,457.0100098,-1.170065761,466.9599915,-1.232170701,477.0100098,-1.202051759,487.0100098,-1.532680631,
408.0299988,0.613404274,308,-2.68928647,318,-2.610273361,328,-2.664702177,338,-2.255768299,338,-1.956449866,348,-1.472541928,358,-1.108362794,368.0299988,-0.5530848503,368.0299988,-0.6236424446,378,-0.00653553009,388.0299988,1.002399445,398.0299988,0.9419631958,408.0299988,0.7448093891,418.0299988,-0.2009468079,428.0299988,-0.9801748991,438.0299988,-0.8397817612,448.0299988,-1.192923307,458.0499878,-1.078778148,468.0299988,-1.227623224,478.0499878,-1.202016115,488.0499878,-1.458035946,
408.9299927,0.5350983143,309.0700073,-2.587576866,319.0700073,-2.61050272,329.0700073,-2.610445261,339.0700073,-2.2529006,339.0700073,-1.88346076,349.0700073,-1.62900877,359.0700073,-1.164193392,368.9299927,-0.6054484844,368.9299927,-0.4497480392,379.0700073,0.3087806702,388.9299927,1.033657551,398.9299927,1.246196747,408.9299927,0.7659537792,418.9299927,-0.2563471794,428.9299927,-0.9927648306,438.9299927,-0.9302114248,448.9299927,-1.094785333,458.9500122,-1.312321901,468.9299927,-1.409095645,478.9500122,-1.234870911,488.9500122,-1.352620602,
410,0.6204822063,310,-2.601661921,320,-2.58371973,330,-2.656868935,340,-2.194352627,340,-1.893818617,350,-1.522088051,360,-1.002565384,370,-0.5917098522,370,-0.4792838097,380,0.3414368629,390,1.396969318,400,1.351728439,410,0.4827318192,420,-0.3448340893,430,-0.9577003717,440,-0.8096052408,450,-1.138815165,460,-1.537742734,470,-1.548839211,480,-1.355403423,490,-1.420824647,
411.0599976,0.5530250072,311.0700073,-2.423660994,321.0700073,-2.718111992,331.0700073,-2.663099527,341.0700073,-2.346106529,341.0700073,-1.974786162,351.0700073,-1.472234845,361.0599976,-0.976151228,371.0700073,-0.5545623302,371.0700073,-0.4383509159,381.0599976,0.5020217896,391.0599976,1.210602999,401.0599976,1.41776371,411.0599976,0.6048398018,421.0599976,-0.4447042942,431.0599976,-0.9747735262,441.0599976,-0.9064828157,451.0400085,-1.125299692,461.0599976,-1.482429028,471.0400085,-1.59121871,481.0400085,-1.504472733,491.0400085,-1.405260801,
411.9599915,0.5125710964,312,-2.645189524,322,-2.60975647,332,-2.695360661,342,-2.268358231,342,-1.850720167,352,-1.470550895,361.9599915,-0.8728746176,372,-0.3625657558,372,-0.4164311886,381.9599915,0.4341483116,391.9599915,1.410765648,401.9599915,1.657848835,411.9599915,0.4882714748,421.9599915,-0.2533547878,431.9599915,-0.9154284,441.9599915,-0.8813616037,451.9400024,-1.239608049,461.9599915,-1.458163738,471.9400024,-1.548301816,481.9400024,-1.531555176,491.9400024,-1.570721626,
413.0299988,0.7488541603,313.0700073,-2.498980284,323.0700073,-2.540749073,333.0700073,-2.664986372,343.0700073,-2.263770103,343.0700073,-1.841240883,353.0700073,-1.442805052,363.0299988,-0.9307222366,373.0700073,-0.367102623,373.0700073,-0.3657579422,383.0299988,0.475219965,393.0299988,1.614958763,403.0299988,1.499349117,413.0299988,0.6635127068,423.0299988,-0.3910665512,433.0299988,-1.082824349,443.0299988,-0.9772181511,452.980011,-1.187641621,463.0299988,-1.532512307,472.980011,-1.761885881,482.980011,-1.630642772,492.980011,-1.591874957,
413.9299927,0.5806567669,314,-2.513932228,324,-2.663072348,334,-2.618431807,344,-2.24677372,344,-1.858056307,354,-1.555532455,363.9299927,-0.8073227406,374,-0.2410645485,374,-0.1467907429,383.9299927,0.5922753811,393.9299927,1.20565486,403.9299927,1.68182373,413.9299927,0.8059215546,423.9299927,-0.1621589661,433.9299927,-0.9750579596,443.9299927,-0.89366436,454.019989,-1.157010913,463.9299927,-1.497125983,474.019989,-1.653387904,484.019989,-1.660110235,494.019989,-1.685145736,
415,0.8061814308,315.0700073,-2.558021069,325.0700073,-2.58063221,335.0700073,-2.679685831,345.0700073,-2.250717402,345.0700073,-1.865052938,355.0700073,-1.388324857,365,-1.032808423,375.0700073,-0.2297816277,375.0700073,-0.3803150654,385,0.5881488323,395,1.670528889,405,1.529378414,415,0.7687237263,425,-0.2430558205,435,-1.014893174,445,-1.014683723,455.0700073,-1.197853327,465,-1.510634422,475.0700073,-1.679958224,485.0700073,-1.647812247,495.0700073,-1.813278913,
416.0599976,0.7315089703,316,-2.528170109,326,-2.57896018,336,-2.71047163,346,-2.29648757,346,-1.894599438,356,-1.448883176,366.0599976,-0.8729178905,376,-0.1294674873,376,-0.122130394,386.0599976,0.7818803787,396.0599976,1.504049778,406.0599976,1.821771145,416.0599976,0.8263554573,426.0599976,-0.2537887096,436.0599976,-0.992677331,446.0599976,-0.8674917221,455.9700012,-1.295234203,466.0599976,-1.562398434,475.9700012,-1.778439045,485.9700012,-1.693913221,495.9700012,-1.815024018,
416.9599915,0.5960211754,317.0700073,-2.513577223,327.0700073,-2.460621119,337.0700073,-2.610806704,347.0700073,-2.25338769,347.0700073,-1.90318203,357.0700073,-1.41351378,366.9599915,-0.9386681318,377.0700073,-0.1909806728,377.0700073,-0.09062242508,386.9599915,0.7864160538,396.9599915,1.765983105,406.9599915,1.407372952,416.9599915,0.3266634941,426.9599915,-0.3441588879,436.9599915,-1.023802876,446.9599915,-0.8340722322,457.0100098,-1.199584484,466.9599915,-1.546506643,477.0100098,-1.664791465,487.0100098,-1.824437141,497.0100098,-1.997122645,
418.0299988,0.8236548901,318,-2.658899307,328,-2.569145203,338,-2.619553328,348,-2.268322945,348,-1.951274633,358,-1.379956126,368.0299988,-0.823677659,378,-0.01837897301,378,-0.07996249199,388.0299988,1.0585289,398.0299988,1.596729279,408.0299988,1.524817467,418.0299988,0.6304528713,428.0299988,-0.1634740829,438.0299988,-0.9287506342,448.0299988,-0.8059190512,458.0499878,-1.253438592,468.0299988,-1.422783375,478.0499878,-1.65453136,488.0499878,-1.758282185,498.0499878,-2.070248604,
418.9299927,0.6881902218,319.0700073,-2.67428875,329.0700073,-2.746250153,339.0700073,-2.617974043,349.0700073,-2.277389288,349.0700073,-1.961548805,359.0700073,-1.421833038,368.9299927,-0.7645812035,379.0700073,0.1144952774,379.0700073,0.1953556538,388.9299927,1.140849113,398.9299927,1.892711163,408.9299927,1.514600277,418.9299927,0.738629818,428.9299927,-0.4605257511,438.9299927,-0.9693924189,448.9299927,-0.8692625761,458.9500122,-1.113515258,468.9299927,-1.575218797,478.9500122,-1.788258553,488.9500122,-1.885966778,498.9500122,-2.117442846,
420,0.4676589966,320,-2.762369633,330,-2.569668055,340,-2.627138138,350,-2.314600945,350,-1.849676847,360,-1.348159194,370,-0.8029409647,380,0.2707283497,380,0.04408979416,390,1.165653467,400,1.990318298,410,1.931453228,420,0.7344548702,430,-0.4291694164,440,-0.8753143549,450,-0.9660016298,460,-1.067896962,470,-1.421103239,480,-1.79891324,490,-1.890740395,500,-2.132790565,
421.0599976,0.655847311,321.0700073,-2.68896246,331.0700073,-2.594397306,341.0700073,-2.580081463,351.0700073,-2.277594328,351.0700073,-1.897428274,361.0599976,-1.372488141,371.0700073,-0.7349926233,381.0599976,0.1414449215,381.0599976,0.157576561,391.0599976,1.182291985,401.0599976,1.653097153,411.0599976,1.770505905,421.0599976,0.822668314,431.0599976,-0.4444174767,441.0599976,-0.9126317501,451.0400085,-0.9344927073,461.0599976,-1.141710401,471.0400085,-1.44389081,481.0400085,-1.752848864,491.0400085,-1.843047976,501.0400085,-2.185043335,
421.9599915,0.4826309681,322,-2.57175684,332,-2.486825705,342,-2.618561506,352,-2.252990007,352,-1.887315512,361.9599915,-1.414674759,372,-0.6774635315,381.9599915,0.1826684475,381.9599915,0.2540969849,391.9599915,1.261607647,401.9599915,1.892416477,411.9599915,1.882240295,421.9599915,0.5070517063,431.9599915,-0.3836989403,441.9599915,-1.012901783,451.9400024,-0.9397341013,461.9599915,-1.263417006,471.9400024,-1.556212187,481.9400024,-1.649863482,491.9400024,-1.867790461,501.9400024,-2.181425571,
